Название,Страна,Жанр,Год выпуска,Возрастное ограничение,Продолжительность,Рейтинг
Понаехали,Россия,Комедии,2019,12,80,5.7
Опасная игра,Италия,Мелодрамы,2022,18,90,6.0
Последний охотник на ведьм,США,Фэнтези,2015,16,102,7.8
Век Адалин,США,Драмы,2015,16,108,8.7
Обливион,США,Фантастика,2013,12,125,8.2
Экстрасенсы,США,Триллеры,2015,18,96,8.2
Робин Гуд,США,Боевики,2010,12,140,8.2
Ограбление на лайнере,Германия,Комедии,2021,16,105,7.1
Лулу и Бриггс,США,Комедии,2022,12,100,8.3
"Знакомьтесь, Джо Блэк",США,Мистические,1998,16,180,8.7
Достать ножи,США,Детективы,2019,16,124,8.6
Последний богатырь,Россия,Фэнтези,2017,12,113,8.4
Валериан и город тысячи планет,Франция,Фантастика,2017,16,136,8.2
Люди в черном,США,Фантастика,1997,12,97,8.5
Мумия возвращается,США,Фэнтези,2001,12,129,8.1
Смертельная ловушка,Италия,Триллеры,2022,16,106,5.1
Летчик,Россия,Драмы,2021,12,101,8.5
После. Долго и счастливо,США,Мелодрамы,2022,16,91,7.1
Огонь,Россия,Катастрофы,2020,6,131,8.8
Царство красоты,Канада,Драмы,2014,18,97,5.1
Пара из будущего,Россия,Комедии,2021,16,100,8.0
Пиксели,США,Фантастика,2015,12,105,8.1
Великий уравнитель,США,Боевики,2014,18,131,8.3
Красотки в бегах,США,Комедии,2015,16,87,7.5
Черепашки-ниндзя,США,Боевики,2014,16,97,8.3
Как отделаться от парня за 10 дней,США,Мелодрамы,2003,12,110,8.3
Смертельная охота,США,Драмы,2022,18,95,3.6
Эверест,Великобритания,Триллеры,2015,16,121,8.2
Последний богатырь: Корень зла,Россия,Приключения,2021,6,121,8.2
Батя,Россия,Комедии,2021,16,76,8.2
Новый Человек-Паук,США,Фантастика,2012,12,136,8.3
Реинкарнация: Сбой системы,США,Фантастика,2022,16,94,4.0
Отель «Белград»,Россия,Комедии,2020,12,105,8.0
Великий уравнитель 2,США,Боевики,2018,18,116,8.3
Покерфейс,США,Боевики,2022,18,94,7.6
Зеленая книга,США,Комедии,2018,18,124,9.1
28 панфиловцев,Россия,Военные,2016,12,120,8.3
Телохранитель жены киллера,США,Боевики,2021,18,116,7.8
"Ешь, молись, люби",США,Драмы,2010,16,140,8.4
После. Глава 3,США,Мелодрамы,2021,18,94,6.9
Человек-паук 3: Враг в отражении,США,Фантастика,2007,12,139,8.3
Сволочи,Россия,Драмы,2006,16,97,8.6
Хоббит: Пустошь Смауга,США,Фэнтези,2013,12,154,8.6
