Название,Страна,Жанр,Год выпуска,Возрастное ограничение,Продолжительность,Рейтинг
"Помогите, я уменьшил своих родителей!",Германия,Комедии,2018,6,98,8.0
"Карты, деньги, два ствола",Великобритания,Боевики,1998,16,106,8.4
Весури,Россия,Драмы,2019,12,84,7.3
Операция «Валькирия»,США,Триллеры,2008,16,120,8.1
Игра Эндера,США,Фантастика,2013,12,113,7.7
Нюрнберг. Свидетели,Россия,Документальные,2015,16,43,8.1
Девятка,США,Драмы,2020,16,88,6.7
Девушка в окне,Австралия,Ужасы,2022,18,84,5.5
О чем говорят мужчины. Продолжение,Россия,Комедии,2018,16,94,8.2
Лекарь: Ученик Авиценны,Германия,Драмы,2013,12,148,8.5
Убийца,США,Боевики,2015,16,116,7.7
Поезд в Пусан 2: Полуостров,Южная Корея,Ужасы,2020,16,115,7.0
Очень плохие мамочки 2,США,Комедии,2017,18,104,7.7
Тыгын Дархан,Россия,Драмы,2020,12,144,5.9
Быстрее пули,США,Боевики,2010,18,98,7.6
Академия вампиров,США,Фэнтези,2014,12,100,7.4
Игра в иллюзию,США,Триллеры,2022,18,83,5.7
Нормальный только я,Россия,Комедии,2021,12,98,8.1
Добро пожаловать в Zомбилэнд,США,Ужасы,2009,18,87,7.9
Волна,Норвегия,Катастрофы,2015,16,100,7.4
Терминатор 3: Восстание машин,США,Фантастика,2003,18,109,8.0
Звездный разум,Россия,Фантастика,2022,12,93,5.6
Шаг вперед 2: Улицы,США,Драмы,2008,12,93,8.4
Девять жизней,Франция,Фэнтези,2016,6,83,8.6
Экипаж,США,Триллеры,2012,18,132,8.0
Мой папа – вождь,Россия,Комедии,2022,6,93,7.3
Разговорник,Россия,спектакли,2020,16,82,7.9
В метре друг от друга,США,Драмы,2019,18,111,8.7
Мышиная охота,США,Комедии,1997,12,93,8.5
Исчезнувший,Великобритания,Триллеры,2021,16,91,6.8
Гордость и предубеждение и зомби,США,Ужасы,2015,16,107,7.6
Бун,США,Боевики,2022,18,95,5.9
Экстрасенс. Дело Софи,США,Ужасы,2022,18,123,6.1
Профессионал,США,Триллеры,2018,16,100,4.7
Завтрак у Тиффани,США,Драмы,1961,12,109,8.3
Загадочное убийство,Италия,Триллеры,2020,16,84,6.1
Горько!,Россия,Комедии,2013,16,100,7.8
Один день,США,Драмы,2011,16,101,8.2
Уцелевший,США,Боевики,2013,16,121,7.7
Бриджит Джонс: Грани разумного,Великобритания,Комедии,2004,18,105,8.2
Робо,Россия,Фантастика,2019,6,90,8.2
Три плюс два,СССР,Комедии,1963,12,95,8.4
Золото империи,Россия,Приключения,2021,12,84,5.1
Я худею,Россия,Комедии,2018,16,98,8.0
"Порнолоджи, или Милашка как ты",США,Комедии,2020,16,94,6.4
Девушка моего лучшего друга,США,Мелодрамы,2008,16,96,7.2
"Шпион, который меня кинул",США,Комедии,2018,16,112,7.2
Самый лучший день,Россия,Комедии,2015,16,102,7.9
План побега,США,Боевики,2013,16,110,8.1
Сбежавшая невеста,США,Мелодрамы,1999,16,116,7.9
БУМЕРАНГ,Россия,Комедии,2021,16,105,7.5
Добровольцы,СССР,Драмы,1958,0,91,7.8
Дело храбрых,США,Боевики,2017,16,128,8.6
Звездный путь,США,Фантастика,2009,16,121,8.3
1408,США,Ужасы,2007,16,100,7.8
Соучастник,США,Триллеры,2004,16,114,7.6
Афоня,СССР,Драмы,1975,0,87,8.4
Ты умеешь хранить секреты?,США,Комедии,2019,16,90,7.3
Дело 39,США,Ужасы,2009,16,104,7.5
Большая игра,США,Драмы,2017,16,140,8.3
Непрощенный,Россия,Драмы,2018,16,104,8.7
Изгой,США,Драмы,2000,12,137,8.7
Письма к Джульетте,США,Драмы,2010,12,105,8.2
Одержимость,США,Драмы,2004,16,110,7.3
Астрал 4: Последний ключ,Канада,Ужасы,2018,16,103,7.4
Диктатор,США,Комедии,2012,18,79,7.5
Монах и бес,Россия,Комедии,2016,12,113,7.7
Астерикс и Обеликс в Британии,Франция,Комедии,2012,6,105,7.5
Нимфоманка: Часть 2 (на английском языке с русскими субтитрами),Дания,Драмы,2013,18,123,5.3
Опасные пассажиры поезда 123,США,Триллеры,2009,16,105,7.8
Любовницы,Россия,Комедии,2019,18,97,7.3
Дети шпионов 2: Остров несбывшихся надежд,США,Комедии,2002,0,95,8.3
Стюарт Литтл,Германия,Фэнтези,1999,6,84,8.2
Крид: Наследие Рокки,США,Драмы,2015,16,133,8.5
Без срока давности. Эшелоны смерти,Россия,Документальные,2018,12,44,7.8
Адреналин: Высокое напряжение,США,Криминал,2009,18,91,6.4
Место под соснами,США,Триллеры,2012,16,134,7.5
Судьба человека,СССР,Военные,1959,12,101,9.0
"Помогите, я уменьшил своих друзей!",Германия,Фэнтези,2021,6,97,8.3
Горячий отпуск,Франция,Комедии,2022,16,104,4.6
Поменяться местами,США,Комедии,1983,16,111,8.3
Как я стал русским,Россия,Комедии,2019,16,94,8.0
Каникулы строгого режима,Россия,Комедии,2009,6,109,8.5
Ёлки 9,Россия,Комедии,2022,12,94,7.2
"Нюрнберг. Процесс, которого могло не быть",Россия,Документальные,2015,16,45,7.5
Охотники за привидениями,США,Фантастика,2016,12,116,7.7
Обратная связь,Россия,Комедии,2020,16,96,8.1
Новая эра Z,США,Ужасы,2016,16,106,6.8
Американский пирог 3: Свадьба,США,Комедии,2003,18,103,8.1
О любви,Россия,Мелодрамы,2017,16,94,6.8
Джентльмены,Великобритания,Криминал,2019,18,113,9.0
Вне/себя,США,Фантастика,2015,16,112,8.3
Эллиот и волшебный амулет,Канада,Приключения,2022,12,86,7.2
Адреналин,США,Боевики,2006,18,87,7.3
Летят журавли,СССР,Военные,1957,12,96,8.8
Благословите женщину,Россия,Мелодрамы,2003,12,114,8.7
Затерянный мир,США,Фантастика,2009,12,101,7.0
Дневники няни,США,Комедии,2007,16,100,8.0
Страшно красив,США,Фэнтези,2011,16,86,7.7
Не может быть!,СССР,Мелодрамы,1975,12,91,8.2
Лара Крофт: Расхитительница гробниц 2 – Колыбель жизни,США,Боевики,2003,12,111,7.6
Прогулка среди могил,США,Детективы,2014,16,109,7.6
Хижина в лесу,США,Ужасы,2012,16,91,6.2
Аферисты Дик и Джейн,США,Комедии,2005,16,90,8.0
Тоня против всех,Великобритания,Драмы,2017,18,114,7.5
Дом с паранормальными явлениями 2,США,Комедии,2014,18,82,7.1
Запятнанная репутация,США,Драмы,2003,16,105,7.0
"Печень, или История одного стартапа",Россия,Комедии,2019,16,90,6.8
Вне времени,США,Боевики,2003,16,105,7.7
Прабабушка легкого поведения,Россия,Комедии,2021,16,90,7.0
Морозко,СССР,Семейные,1965,0,78,8.5
Прибытие,США,Фантастика,2016,16,111,7.7
Одним меньше,США,Триллеры,2013,16,117,7.4
Измена,Россия,Драмы,2012,16,114,5.7
Возвращение с фронта,Россия,Военные,2022,12,75,6.0
Старикам тут не место,США,Триллеры,2007,16,116,7.3
Жизнь прекрасна,Италия,Драмы,1997,12,110,8.7
Убийства по открыткам,Великобритания,Детективы,2020,16,91,6.8
Громкая связь,Россия,Комедии,2019,18,82,7.9
Звонок,США,Ужасы,2002,16,110,7.3
Молодой человек,Россия,Комедии,2022,16,110,7.7
Донор,Казахстан,Мелодрамы,2022,16,112,8.4
Тень. Взять Гордея,Россия,Детективы,2022,16,86,6.8
Самый лучший друг,США,Драмы,2018,12,83,7.3
Бамблби,США,Фантастика,2018,6,109,8.2
Купи меня,Россия,Драмы,2018,16,106,6.4
Джек Райан: Теория хаоса,США,Боевики,2013,12,100,7.3
Нюрнберг. Чтобы помнили…Процесс глазами журналистов,Россия,Документальные,2015,16,44,9.2
"Красивый, плохой, злой",США,Триллеры,2019,16,109,7.9
Геракл: Начало легенды,США,Боевики,2014,12,94,7.1
Кто я,Германия,Триллеры,2014,16,101,8.3
5-я волна,США,Фантастика,2016,16,112,6.8
Форрест Гамп,США,Драмы,1994,16,136,9.1
Крутые меры,Великобритания,Боевики,2016,18,88,7.8
Братья Гримм,США,Фэнтези,2005,12,113,7.6
Месть от кутюр,Австралия,Драмы,2015,18,118,8.1
В джазе только девушки,США,Комедии,1959,18,120,9.1
Апокалипсис (на юкатекском языке с русскими субтитрами),США,Исторические,2006,16,132,8.2
Киллеры,США,Комедии,2010,16,100,7.7
Я иду искать,Россия,Драмы,2022,16,87,7.0
Проклятие Плачущей. Возвращение,Канада,Ужасы,2022,18,98,5.3
Очень страшное кино,США,Комедии,2000,18,88,7.3
Бык,Россия,Криминал,2019,16,99,7.2
Секреты секса и любви,Испания,Мелодрамы,2016,16,97,5.7
Заступник,США,Триллеры,2021,16,103,7.3
А вот и она,США,Мелодрамы,2014,12,89,7.8
Поступь хаоса,США,Фантастика,2021,16,108,6.9
Кровавый спорт,США,Боевики,1988,16,92,8.6
Солнцепек,Россия,Драмы,2021,18,132,8.6
Текст,Россия,Триллеры,2019,18,131,7.2
Поездка в Америку,США,Мелодрамы,1988,16,111,8.4
Золотые соседи,Россия,Мелодрамы,2022,16,80,6.2
Война миров,США,Фантастика,2005,16,110,8.0
Главная роль,Испания,Комедии,2021,16,114,6.8
Другие,Испания,Ужасы,2001,16,104,7.9
День сурка,США,Фэнтези,1993,16,96,8.8
Тренер Картер,США,Драмы,2005,12,130,8.7
Судья Дредд,Великобритания,Фантастика,2012,16,95,7.7
Охотники за привидениями,США,Фантастика,1984,6,105,8.3
Подарок с характером,Россия,Семейные,2014,6,84,8.5
О чем говорят мужчины,Россия,Комедии,2010,16,96,8.6
Сердцеедки,США,Мелодрамы,2001,16,123,8.0
Крестный отец. Эпилог: Смерть Майкла Корлеоне,США,Криминал,2020,16,152,8.4
Старски и Хатч,США,Комедии,2004,18,100,7.9
Землетрясение,Россия,Катастрофы,2016,16,100,8.5
Иван Бровкин на целине,СССР,Комедии,1959,6,90,7.9
Враг у ворот,США,Драмы,2000,16,124,7.2
Защитник,США,Драмы,2016,18,89,7.6
Любовь на острове,США,Мелодрамы,2006,16,86,6.3
Смертельная гонка,США,Боевики,2020,18,84,2.0
Трое,Россия,Драмы,2020,18,122,6.6
Особо опасна,США,Боевики,2015,16,96,7.1
"Твои, мои и наши",США,Фэнтези,2005,12,88,8.4
Безумная свадьба,Франция,Комедии,2014,16,96,8.3
2050,США,Фантастика,2018,16,106,4.5
Посланники ада,США,Ужасы,2022,16,82,4.6
Замерзшая из Майами,США,Комедии,2009,16,92,7.8
Марлоу,США,Детективы,2022,18,108,7.0
Без чувств,США,Комедии,1998,16,89,8.2
Апгрейд. Цифровой солдат,Китай,Боевики,2021,18,85,6.3
Уборщица,США,Ужасы,2018,16,86,5.0
Ловцы монстров,США,Комедии,2018,12,91,7.9
Крик 4,США,Ужасы,2011,18,106,6.9
Красавица и чудовище,Франция,Фэнтези,2014,12,113,7.9
Гагарин. Первый в космосе,Россия,Биография,2013,6,112,8.3
Пенелопа,США,Комедии,2006,12,99,8.3
Пила 2,США,Ужасы,2005,18,92,7.7
Из Парижа с любовью,Франция,Комедии,2009,16,92,8.0
Криминальный город 2,Южная Корея,Боевики,2022,16,105,7.9
Перевозчик: Наследие,Франция,Боевики,2015,16,96,7.4
Женщина в золотом,Великобритания,Драмы,2015,12,108,8.7
Шаг вперед 3D,США,Драмы,2010,12,102,8.4
Бронкская история,США,Криминал,1993,16,121,8.5
Воин,США,Драмы,2011,16,134,8.4
Обитель теней,Испания,Ужасы,2017,16,106,7.3
Агент Ева,США,Боевики,2020,18,92,7.0
Женюсь на первой встречной,США,Мелодрамы,2006,16,91,6.1
Глобальная катастрофа,Канада,Фантастика,2017,12,83,5.2
Нюрнберг. Казнь,Россия,Документальные,2015,16,44,7.3
Хотя бы в кино (на казахском языке с русскими субтитрами),Казахстан,Комедии,2022,16,97,8.0
Кейт и Лео,США,Фэнтези,2001,12,109,8.5
Девятые врата,Франция,Триллеры,1999,16,133,7.7
Париж подождет,США,Мелодрамы,2017,16,88,7.4
Одиноким предоставляется общежитие,СССР,Советские,1984,12,87,8.3
Хатико: Самый верный друг,США,Драмы,2009,0,89,9.0
Розовая пантера,США,Комедии,2006,6,93,8.1
Няньки,Россия,Комедии,2012,16,90,7.9
Паразиты,Южная Корея,Драмы,2019,16,131,7.5
Невероятные приключения итальянцев в России,СССР,Комедии,1974,12,102,8.5
Небесный тихоход (цветная версия),СССР,Советские,1946,6,80,8.4
Интердевочка,СССР,Драмы,1989,16,142,7.8
12 лет рабства,США,Драмы,2013,16,128,8.6
Помпеи,Канада,Катастрофы,2014,12,100,7.6
Бешеные псы,США,Триллеры,1992,18,98,7.8
Поворот не туда: Наследие,США,Ужасы,2021,16,105,6.8
Апачи-Джанкшен,США,Вестерн,2021,16,90,6.1
Чудо,США,Драмы,2017,12,113,8.9
Они,США,Ужасы,2019,16,88,6.9
Дюплекс,США,Комедии,2003,12,85,8.0
Гостья,США,Фантастика,2013,12,119,8.0
Жмурки,Россия,Комедии,2005,16,105,8.2
Смурфики,США,Фэнтези,2011,0,102,8.1
Анна,Франция,Боевики,2019,18,114,7.7
Последний клиент,Дания,Триллеры,2022,18,93,7.5
Особое мнение,США,Фантастика,2002,16,139,7.7
Первая любовь,США,Мелодрамы,2022,16,95,6.5
Яна+Янко,Россия,Комедии,2017,12,96,8.1
Целуя девушек,США,Триллеры,1997,18,110,7.8
Американский пирог: Все в сборе,США,Комедии,2012,18,112,7.9
Акула: Начало,Южная Корея,Боевики,2021,16,103,7.8
Возмездие. После Нюрнберга,Россия,Документальные,2016,12,44,8.1
Подельники,Россия,Драмы,2022,18,108,6.7
Законы привлекательности,Ирландия,Комедии,2004,12,86,8.1
Всё путем,США,Драмы,2009,16,94,8.6
Джобс: Империя соблазна,США,Драмы,2013,16,122,8.1
Завтрак у папы,Россия,Комедии,2016,12,91,8.1
Кровавая леди Батори,Россия,Триллеры,2015,16,106,6.1
Простая просьба,Канада,Триллеры,2018,16,112,7.5
Дело было в Пенькове,СССР,Драмы,1957,12,94,8.1
Белоснежка: Месть гномов,США,Комедии,2012,12,103,7.8
Счастливое число Слевина,Германия,Триллеры,2006,16,109,8.3
"Гангстер, коп и дьявол",Южная Корея,Боевики,2019,16,109,7.9
Опасный город,Италия,Триллеры,2021,18,116,7.4
Соблазн,Франция,Триллеры,2019,18,100,5.6
Только для взрослых,Казахстан,Комедии,2020,16,80,4.7
Если я останусь,США,Драмы,2014,16,106,8.1
Бабник,США,Драмы,2009,16,93,6.6
Ангелы Чарли,США,Боевики,2019,16,113,7.6
Казнь,Россия,Триллеры,2021,18,137,7.3
Офицеры,СССР,Советские,1971,0,94,8.9
Тихое место 2,США,Ужасы,2021,16,93,7.5
Последний рубеж,США,Боевики,2013,16,96,7.8
Он и Она,Франция,Комедии,2017,16,120,7.3
Почти мачо,Казахстан,Комедии,2022,12,85,7.8
Братья из Гримсби,Великобритания,Боевики,2016,18,83,7.0
Евротур,США,Комедии,2004,16,90,8.1
Рассвет Великой степи,Казахстан,Исторические,2022,16,137,7.4
Временные трудности,Россия,Драмы,2018,12,83,8.6
Однажды в Техасе,США,Криминал,2020,18,101,7.1
Сердце из стали,Китай,Фантастика,2017,16,104,6.9
Неспящие в Сиэтле,США,Драмы,1993,12,104,8.5
Кома,Россия,Фантастика,2019,16,111,6.8
Наркоз,США,Триллеры,2007,16,84,7.9
Тропический шторм,США,Ужасы,2022,16,85,6.7
Любовь случается,США,Драмы,2009,12,108,7.3
То самое лето,Франция,Драмы,2022,16,95,6.7
Извержение,Южная Корея,Боевики,2019,16,128,7.2
Игры разума,США,Драмы,2001,12,129,8.5
Сонная Лощина,США,Ужасы,1999,16,100,8.1
Пираньи 3D,США,Ужасы,2010,16,84,6.6
Верные друзья,СССР,Советские,1954,6,100,8.3
Ужас Амитивилля,США,Ужасы,2005,18,85,7.3
Куриоса,Франция,Мелодрамы,2019,16,104,5.4
Спайдервик: Хроники,США,Для детей,2008,12,91,8.4
Непристойное предложение,США,Драмы,1993,16,111,8.4
Турист,Россия,Боевики,2021,16,99,8.0
Интимные места,Россия,Драмы,2013,16,79,4.5
Календарь ма(й)я,Россия,Приключения,2022,6,88,8.2
Маршалл,США,Биография,2016,16,113,8.5
Кикбоксер,США,Боевики,1989,16,97,8.3
Шаг вперед: Все или ничего,США,Драмы,2014,12,107,8.2
Как Витька Чеснок вез Леху Штыря в дом инвалидов,Россия,Драмы,2017,16,89,6.8
Волшебники,Россия,Фэнтези,2022,12,95,7.1
Монстр-траки,Канада,Фантастика,2016,6,99,8.4
"Гудбай, Америка",Россия,Драмы,2020,12,101,8.1
Сопротивление,США,Биография,2020,16,116,8.3
Игрок,США,Триллеры,2014,18,106,7.6
Библиотекарь 2: Возвращение в Копи Царя Соломона,США,Приключения,2006,16,88,7.5
Солдат Иван Бровкин,СССР,Мюзикл,1955,0,87,7.8
Эта любовь,Россия,Комедии,2023,16,94,6.6
Французский поцелуй,Великобритания,Мелодрамы,1995,16,111,8.2
Руфус: Хроники волшебной страны,Франция,Фэнтези,2020,6,82,7.9
Крейсер,США,Боевики,2016,16,124,7.5
Ярды,США,Криминал,2000,16,112,6.7
Разрисованная вуаль,США,Драмы,2006,16,119,8.0
Эквилибриум,США,Фантастика,2002,16,97,8.2
Эспен в королевстве троллей,Норвегия,Фэнтези,2017,6,100,7.4
Охота на волка,Канада,Триллеры,2020,16,89,6.2
Живой,Россия,Драмы,2006,16,98,7.7
Над глубиной: Хроника выживания,Австралия,Ужасы,2017,18,76,5.9
Мистер Нокаут,Россия,Спорт,2022,12,117,8.6
Ведьма: Возрождение,Великобритания,Ужасы,2021,18,103,4.3
Профессионал,Великобритания,Боевики,2011,16,111,7.6
Портал,США,Ужасы,2019,16,75,4.5
Мужики!,СССР,Драмы,1982,6,92,8.7
Пес под прикрытием,США,Комедии,2020,6,83,7.9
Триггер боли,Канада,Боевики,2021,16,78,6.2
Марш-бросок,Россия,Боевики,2003,16,109,7.7
Горец,Великобритания,Фэнтези,1986,18,111,7.8
Никогда не сдавайся,США,Боевики,2008,16,113,8.3
Тепло наших тел,США,Ужасы,2013,16,93,8.4
Порочная страсть,США,Триллеры,2012,16,106,7.1
Ледокол,Россия,Катастрофы,2016,12,119,7.9
Шоколад,Великобритания,Драмы,2000,12,112,8.5
Призрачный гонщик 2,США,Фэнтези,2011,16,91,8.0
Кавалерия,США,Боевики,2018,16,124,7.4
Челюсти 3D (2D версия),США,Ужасы,2011,16,86,5.8
"Варвара-краса, длинная коса",СССР,Советские,1969,12,80,8.2
"Дом, в котором я живу",СССР,Драмы,1957,6,94,8.1
Лев,Великобритания,Драмы,2016,16,113,8.8
Невиновная,Южная Корея,Детективы,2020,16,106,7.7
Полночь в Париже,США,Приключения,2011,16,90,7.9
(НЕ)идеальный мужчина,Россия,Комедии,2020,12,87,7.2
Тупой и еще тупее 2,США,Комедии,2014,16,109,6.8
Семь психопатов,Великобритания,Комедии,2012,16,105,7.4
Саботаж,США,Боевики,2014,16,108,7.1
Секс и ничего лишнего,Канада,Комедии,2012,18,99,5.8
Любовь между строк,Германия,Мелодрамы,2019,18,117,7.3
Темные ангелы,США,Фэнтези,2016,12,91,6.2
Розовая пантера 2,США,Комедии,2009,6,91,8.3
Аллея кошмаров,США,Драмы,2021,18,144,7.5
Незавершенное дело,Испания,Детективы,2022,16,103,5.9
Лесси: Возвращение домой,Германия,Семейные,2020,6,92,8.6
Тот еще...!,Россия,Комедии,2012,12,83,8.0
Шаг вперед 4,США,Драмы,2012,12,94,8.3
Шахматист,Франция,Биография,2019,6,107,8.8
Техасская резня бензопилой 3D,США,Ужасы,2013,16,87,7.1
Неидеальные попутчики,Италия,Комедии,2022,16,73,6.2
Спеши любить,США,Мелодрамы,2002,12,102,8.2
Убийца 2. Против всех,США,Боевики,2018,16,117,7.5
Час расплаты,США,Фантастика,2003,12,113,7.9
Юный вождь Виннету,Германия,Приключения,2022,6,102,6.3
Притворись моим парнем,Франция,Мелодрамы,2012,16,88,7.5
Особенности национальной рыбалки,Россия,Комедии,1997,16,98,8.4
Нечто,США,Фантастика,2011,18,98,6.8
Пятница 13-е,США,Ужасы,2009,16,92,7.0
С любовью и яростью,Франция,Триллеры,2022,18,116,6.7
Братство,Россия,Военные,2019,16,112,7.3
Аманат,Россия,Мелодрамы,2022,12,119,8.4
"Я, Алекс Кросс",США,Боевики,2012,16,101,7.2
Двойной обман Мадлен Коллинз,Франция,Драмы,2021,16,102,5.8
Тайна Ладоги. Малютки,Россия,Документальные,2019,6,44,8.1
Пила 3,США,Ужасы,2006,18,108,7.7
Келин особого назначения,Казахстан,Комедии,2022,6,89,7.7
Очень страшное кино 3,США,Комедии,2003,16,83,7.5
Матч,Россия,Драмы,2012,12,117,7.4
Starперцы,США,Комедии,2013,16,100,8.2
Ив Сен-Лоран,Франция,Драмы,2014,18,101,7.0
Будьте моим мужем,СССР,Советские,1982,12,82,7.9
Стряпуха,СССР,Советские,1966,0,66,7.7
Поиск,США,Триллеры,2018,16,98,8.3
Страшные истории для рассказа в темноте,США,Ужасы,2019,16,103,7.1
Женитьба Бальзаминова,СССР,Советские,1964,6,84,8.1
Коридор бессмертия,Россия,Драмы,2019,12,139,7.7
Пятьдесят оттенков черного,США,Комедии,2016,16,93,5.6
Джохан,Казахстан,Комедии,2022,12,98,7.6
Книжный клуб,США,Комедии,2018,18,99,7.9
Мое прекрасное лето с Софи,Франция,Комедии,2019,18,88,5.7
Белорусский вокзал,СССР,Советские,1971,12,99,9.1
На острие,Россия,Драмы,2020,12,113,8.8
Беги без оглядки,Германия,Боевики,2006,18,121,7.5
Другое имя,Россия,Драмы,2022,16,97,3.8
Викинг,Россия,Исторические,2016,12,144,6.6
Приручить дракона,Норвегия,Фэнтези,2020,6,81,7.8
Чародейка,Дания,Фэнтези,2018,12,95,6.6
Ватиканские записи,США,Ужасы,2015,16,86,6.5
Основано на реальных событиях,Франция,Триллеры,2017,18,100,6.2
Вальдо,США,Детективы,2021,16,110,7.2
Истребители демонов,США,Ужасы,2020,16,86,4.7
О чем еще говорят мужчины,Россия,Комедии,2011,16,98,8.1
Астрал 3,США,Ужасы,2015,16,93,7.6
Кровь,США,Ужасы,2022,18,108,6.5
Роковая связь,США,Триллеры,2019,16,104,6.6
Решение о ликвидации,Россия,Боевики,2018,12,96,7.5
Тигриный хвост,США,Для детей,2014,6,77,7.9
Четвертый вид,США,Ужасы,2009,16,93,6.3
Вышка,Великобритания,Триллеры,2022,18,106,7.9
Любовь без размера,Россия,Комедии,2020,16,91,6.4
Сталинград. Мы еще живы или нет?,Россия,Документальные,2021,16,59,7.4
Дважды два,Россия,Мелодрамы,2021,16,82,6.6
Эспен в поисках золотого замка,Норвегия,Фэнтези,2019,6,97,7.4
Смерч,США,Катастрофы,1996,12,112,8.0
Бурлеск,США,Драмы,2010,18,118,8.7
Приговор,США,Драмы,2010,16,106,8.0
Поезд на Юму,США,Боевики,2007,16,117,8.1
Осень в Нью-Йорке,США,Драмы,2000,12,105,8.0
"С Новым годом, девчонки! (на русском языке с казахскими субтитрами)",Казахстан,Комедии,2022,16,77,7.4
Обыграть миллиардера,США,Комедии,2021,16,91,7.1
РЭД 2,США,Боевики,2013,12,111,8.0
Пятьдесят оттенков свободы,США,Мелодрамы,2018,18,105,7.8
Французская сюита,Великобритания,Драмы,2014,16,107,8.1
Секс-трип,США,Комедии,2016,16,80,5.8
Кровавая месть,Великобритания,Триллеры,2013,16,107,7.1
Артур и Мерлин: Рыцари Камелота,Великобритания,Приключения,2020,16,86,4.7
Спуск 2,Великобритания,Ужасы,2009,18,89,6.5
Амнезия,США,Боевики,2019,16,88,7.0
Ёлки-иголки,Россия,Комедии,2022,6,102,8.0
Экстрасенс,Великобритания,Драмы,2011,16,102,7.4
На выдохе,Россия,Драмы,2022,16,97,7.4
Вне зоны доступа,Россия,Мелодрамы,2021,6,92,7.7
Невидимый убийца,Южная Корея,Драмы,2022,16,107,8.2
Сирийская соната,Россия,Триллеры,2022,16,104,7.4
"Я, Франкенштейн",США,Приключения,2013,16,92,7.4
Бумер: Фильм второй,Россия,Драмы,2006,16,110,8.2
Невидимка,Великобритания,Триллеры,2018,16,97,7.0
Криминальный город,Южная Корея,Криминал,2017,18,116,8.0
За спичками,СССР,Советские,1980,16,93,8.2
Остров головорезов,США,Боевики,1995,0,119,7.6
Небесная команда,Россия,Драмы,2021,12,87,7.9
Джиперс Криперс,США,Ужасы,2001,16,91,6.7
Очень женские истории,Россия,Мелодрамы,2020,18,92,5.5
Внебрачные связи,Франция,Драмы,2021,16,102,5.5
Самая безумная свадьба,Франция,Комедии,2019,16,98,8.1
Чужой: Царство человека,США,Фантастика,2017,16,84,3.4
Эльдорадо. Затерянный рай,США,Приключения,2016,16,102,4.6
Оверлорд,США,Ужасы,2018,18,105,6.9
Сноуден,Великобритания,Триллеры,2016,16,132,8.2
Королевство кривых зеркал,СССР,Для детей,1963,0,74,8.4
Пираньи 3DD,США,Ужасы,2012,16,79,5.3
Очень страшное кино 2,США,Комедии,2001,16,82,7.5
Хижина,США,Фэнтези,2017,16,126,7.7
Необычайные приключения Адель,Франция,Приключения,2010,16,102,7.7
Крик,США,Триллеры,1996,18,102,7.6
Бомба первой любви,Дания,Мелодрамы,2015,16,83,7.3
Сезон измен,Ирландия,Мелодрамы,2018,18,99,6.2
Заложница 2,Франция,Боевики,2012,16,88,7.9
Дино Дана,Канада,Приключения,2020,6,76,7.3
Гнев,США,Боевики,2014,16,94,7.0
Жизнь прекрасна,США,Драмы,2011,18,99,7.6
Груз 200,Россия,Триллеры,2007,16,85,6.2
Волшебная страна,США,Драмы,2004,12,93,8.7
Мачеха,СССР,Драмы,1973,0,84,8.4
Робот Ари,Франция,Фантастика,2020,6,89,7.8
Идеальный стриптиз,США,Драмы,2014,16,103,5.7
Коко до Шанель,Франция,Биография,2009,16,110,8.3
"Базар жок, Мексика! (на казахском языке)",Казахстан,Комедии,2020,16,84,7.1
Семейный бюджет,Россия,Комедии,2021,12,107,7.4
Восточный ветер,Германия,Драмы,2013,12,105,8.6
LOVE,Россия,Комедии,2021,16,91,6.9
Молочная девочка,Казахстан,Мелодрамы,2023,16,93,6.5
Война,Россия,Боевики,2002,16,124,8.5
Родня,СССР,Драмы,1982,12,92,8.1
Проклятие мачехи,Великобритания,Ужасы,2021,16,68,3.5
Скандал,США,Драмы,2019,16,108,7.3
Карнавальная ночь,СССР,Мюзикл,1956,0,75,8.2
Похищение 101,США,Ужасы,2018,16,73,3.6
Детские игры,США,Ужасы,2019,16,86,6.9
Отрыв,Россия,Триллеры,2019,16,81,6.3
Лавстори,Россия,Мелодрамы,2022,16,90,5.6
Король воров,Великобритания,Криминал,2018,16,107,6.7
Евдокия,СССР,Драмы,1961,6,100,8.5
Метро,Россия,Триллеры,2012,16,126,8.2
Ночь в магазине ужастиков,США,Фэнтези,2022,12,81,6.8
Ёлки лохматые,Россия,Семейные,2014,6,82,8.0
Пристегните ремни,Италия,Мелодрамы,2014,16,110,7.0
Ты не ты,США,Драмы,2014,16,98,8.2
Осенний марафон,СССР,Драмы,1979,12,88,8.2
Аполлон 18,США,Ужасы,2011,16,82,6.1
Отец,Великобритания,Драмы,2020,16,96,7.3
Искатель воды,Австралия,Драмы,2014,16,106,8.2
Не дыши,США,Ужасы,2015,18,85,7.3
Полицейский из Беверли-Хиллз,США,Боевики,1984,16,100,8.4
Глаз,США,Ужасы,2008,16,96,7.6
Момент истины,США,Триллеры,2020,18,90,6.4
Тайное влечение,Австралия,Драмы,2013,16,106,6.9
Клаустрофобия,США,Ужасы,2017,16,86,5.6
Вики Кристина Барселона,Испания,Драмы,2008,12,92,7.1
Робокоп 2,США,Фантастика,1990,18,116,7.8
Отчим,США,Триллеры,2009,16,98,6.9
Афера Томаса Крауна,США,Триллеры,1999,16,113,8.6
